RCRD-TYP,FD-CDE-2,ST-OFC-MAILG,CTY-OFC-MAILG,DST-OFC-MAILG,ST-CDE-OBLR,CTY-CDE-OBLR,ID-NBR-OBLR,LN-NBR,CR-REPT-FEE-CDE,NME-OBLR,ADVNC-MULTI-AMT,DTE-CK,APROPTN-CDE,GEOG-ST-CDE,FY,FED-RESV-ROUTE-NBR,CK-DIGIT-ROUTE-NBR,TYP-BANK-ACCT,DPSTR-ACCT-NBR,ENTY-CDE,CK-CNCLTN-CDE,FNL-ADVNC-CDE,DTE-LST-RGSTR-DTL,BLK-NBR
20,61,13,117,117,13,117,76260008,34,6,1.17008E+15,-235791.99,112016,9,1,40,95944708,2,M,B66E1SS5S4YBUJ6PF,96,60,4,11413,3203
13,81,31,47,47,31,47,49434662,35,7,4.70049E+14,97443.24,112119,90,48,81,27158716,1,C,ZPYT49DZNVWWH98N3,93,65,56,21721,1753
16,81,36,17,17,36,17,48515174,67,6,1.70049E+14,72022.83,81620,58,56,81,11528729,0,C,QC5B6JP5TDB9E6BVU,97,99,24,11518,7985
18,61,18,101,101,18,101,59300120,40,2,1.01006E+15,9062.57,41221,47,31,41,63341378,2,S,YKPPGBOQXZIR2PKR6,4,41,44,51915,9374
15,61,37,77,77,37,77,46717643,77,0,7.70047E+14,30041.24,101616,69,18,61,29925244,9,M,Z5DKKCMDU8T9QEJWQ,53,53,28,122915,5338
12,61,27,101,101,27,101,44374901,58,6,1.01004E+15,-70314.32,111120,22,21,20,93678819,9,B,242S8TVAGOJH1P7BZ,59,50,27,21513,4594
12,61,30,105,105,30,105,95642663,48,9,1.0501E+15,8502.37,92714,32,2,41,91212800,1,S,T9HMIXUI7PD2FA79P,11,84,79,61920,9811
11,41,18,45,45,18,45,37273030,42,2,4.50037E+14,-324.67,21519,96,13,61,49452506,6,C,HSUETK8ZVT8E82I2R,66,76,24,112815,3253
18,61,26,125,125,26,125,71241742,90,3,1.25007E+15,-140.16,42823,62,48,82,69369041,6,C,FUFZASCRWRPYAV7UT,16,7,12,111313,1333
11,41,48,267,267,48,267,84428185,80,7,2.67008E+15,-5972.5,21019,62,30,20,61876179,3,C,0TEYP3N7CTRJPZYNK,75,25,24,71820,618
14,61,30,69,69,30,69,15562267,93,3,6.90016E+14,736.35,60517,82,53,41,11448978,8,B,CCASTV2BSOMBY56LT,24,98,25,31014,5509
14,82,21,221,221,21,221,76530040,28,0,2.21008E+15,8481.2,32818,65,49,41,70925451,0,S,S5FMA5PSJVYGBT1SF,26,83,31,71821,8562
18,61,48,481,481,48,481,78722308,34,6,4.81008E+15,1329.38,52423,29,38,41,14998470,3,M,K718ACZSWULKUNXNG,27,33,84,72318,3146
17,41,48,207,207,48,207,52034403,65,3,2.07005E+15,2754.68,112618,62,12,61,15691946,7,C,2U9OEYVG8BGZYGLME,76,21,24,111621,4647
17,41,53,27,27,53,27,18828032,80,4,2.70019E+14,62802.8,122914,44,8,41,35033680,9,S,559AN4TAZZJM1XJV2,36,29,77,32717,1060
13,82,16,75,75,16,75,11844551,22,7,7.50012E+14,-474.61,50514,67,41,82,36017236,8,C,5EX5LGH4FWC3THA9E,33,72,49,81115,3772
13,41,20,69,69,20,69,35140798,84,6,6.90035E+14,8283.94,80821,67,54,41,14195884,7,C,SES92ATR2OM83D3P4,39,15,5,50813,5360
14,41,5,85,85,5,85,34074143,59,8,8.50034E+14,607.87,71418,60,23,82,84316282,9,C,TG8QT3MYYADQ3FWBM,36,98,66,92920,9048
18,61,5,91,91,5,91,50115484,87,4,9.1005E+14,-944256.23,71719,41,42,41,72766879,9,B,A2M6AY6B0OH204BHT,43,86,22,21519,7292
18,41,31,9,9,31,9,26856922,70,8,9.00269E+13,521501.39,20219,76,21,20,74245651,4,M,AJDY7I2XLK9WJ2UXN,96,27,19,81220,2769
18,82,39,17,17,39,17,21839827,12,0,1.70022E+14,825597.9,90423,52,18,82,31020674,6,B,Z8OC940GWK93X8N3X,42,64,40,70918,3732
11,82,26,51,51,26,51,28317107,33,2,5.10028E+14,-56922.95,73023,22,15,82,74222425,5,S,5H4QCF09SJVM5HJZB,44,67,2,120518,4346
20,41,47,121,121,47,121,10900624,91,2,1.21001E+15,957194.69,111416,10,53,21,98265061,6,S,DNMXQZRB6QFN8WO4P,0,21,28,120219,9579
13,82,40,23,23,40,23,60511808,33,3,2.30061E+14,-1923.31,103119,20,21,62,32684005,1,M,4EEWTSP82A5CDDT0B,1,57,56,42614,9286
12,41,5,131,131,5,131,67084686,82,3,1.31007E+15,6930.8,41418,70,25,62,33903283,3,M,L8GEOF3EEJ4G3ISAU,2,27,25,21220,6224
17,82,48,431,431,48,431,12067708,5,2,4.31001E+15,703877.19,10321,45,1,41,41310269,5,C,2L4MODPU1PEWTBK52,55,90,25,60118,8160
14,21,48,223,223,48,223,21784696,77,8,2.23002E+15,83265.29,72418,48,4,21,55350069,4,B,S1WJ860AWORZ3HUOV,9,29,22,41813,7528
17,62,46,41,41,46,41,87120329,79,9,4.10087E+14,65542.93,10721,87,30,82,46294869,1,C,WDE0U528KVEGP0067,56,18,50,110416,9861
16,21,20,133,133,20,133,32228374,75,1,1.33003E+15,39439.38,110313,82,40,82,98867324,9,S,8ITQGDYCTK1ZFUD93,57,7,79,80922,3465
15,41,18,67,67,18,67,43995138,47,0,6.70044E+14,-20351.14,72915,40,27,62,30257565,6,B,FWICS5ND2DV37NWCW,10,81,94,52817,4503
20,62,37,199,199,37,199,58059673,65,2,1.99006E+15,-98535.85,11513,34,28,41,15204869,9,M,UPJ6DFFGXQY8USP5E,63,65,34,42814,4263
10,62,48,247,247,48,247,63181942,89,1,2.47006E+15,-70713.43,102822,94,48,21,94933021,7,M,L3PNWE1X0DO3I87DG,20,75,47,50514,3405
20,41,9,13,13,9,13,79622567,14,0,1.3008E+14,-516177.65,100514,52,47,62,71606822,9,B,GF3K6HMRV1KHQOSJL,16,61,69,101415,4695
10,62,8,41,41,8,41,16970266,29,1,4.10017E+14,82072.7,100121,86,56,41,14335960,9,B,ACBY89WDDJRYP1GD9,70,12,11,12215,666
13,21,49,35,35,49,35,25132120,52,0,3.50025E+14,-871811.14,12322,31,9,82,65924638,9,S,MULAXTBY0LLTV83C0,67,20,71,120220,9149
16,82,2,164,164,2,164,96124053,52,8,1.6401E+15,573.6,42821,20,22,82,37988691,0,C,02RRRXS60ZFKQME8Q,64,46,22,122314,1396
20,21,21,3,3,21,3,92899360,15,0,3.00929E+13,841926.65,111119,66,10,62,24889958,8,C,287J2Z0RWSOR6JXEI,27,93,32,63021,6678
16,82,2,60,60,2,60,83830301,85,5,6.00084E+14,90853.56,61117,74,47,41,64112174,1,B,5FA52Y6T88DZ6ROCC,79,89,28,92922,6059
19,41,56,43,43,56,43,70197143,98,1,4.3007E+14,474.24,60518,66,46,82,37939383,4,S,RYGXHIQYOE5RI9RY9,77,76,8,42622,5253
17,21,48,317,317,48,317,29589775,25,8,3.17003E+15,9131.16,102415,46,33,62,59279678,6,C,1CKISZICUL0VZS1ZB,30,61,15,111616,9596
18,41,48,405,405,48,405,69046532,44,9,4.05007E+15,796003.98,53015,21,41,21,44847932,0,C,B02NOVR8U2ZIIGQ3H,36,19,13,51218,7643
10,82,51,193,193,51,193,43509991,99,3,1.93004E+15,-93828.33,72218,68,26,41,79765853,2,C,TCN7QKUVWONEJ4JEO,86,76,50,110715,1666
12,62,39,65,65,39,65,92936137,51,3,6.50093E+14,224.93,101720,60,55,41,19758016,8,M,8F1GRJVUJG404T955,87,78,8,92114,305
11,41,48,465,465,48,465,30120040,6,2,4.65003E+15,48794.51,100818,68,40,62,55337876,1,B,P40GWBRY9RNM0THMF,34,4,86,91015,5007
15,21,54,101,101,54,101,38299128,73,8,1.01004E+15,-9716.79,61813,85,24,62,95505022,4,B,45DP278GKMEIYL03Y,37,41,20,71121,7362
17,62,47,187,187,47,187,31906138,81,2,1.87003E+15,-2672.28,21413,54,41,82,17988677,6,B,OJ5WBC1DSFGDUWFUL,89,2,15,51217,2222
16,41,24,21,21,24,21,23351692,19,4,2.10023E+14,69486.41,22418,14,20,21,76505207,0,C,NT9NP5Y90PUALIAFR,52,18,5,73013,3910
15,41,40,21,21,40,21,37918494,87,5,2.10038E+14,-420.93,10914,61,13,62,35267445,2,B,B7XP46K24IH9UKFJ5,48,69,33,103017,7644
11,62,51,145,145,51,145,78139869,75,5,1.45008E+15,2466.79,120916,53,29,21,25347609,7,C,HI96ATBG2UWQNAB7M,56,26,94,72714,2110
20,62,13,307,307,13,307,17330170,23,9,3.07002E+15,-25646.89,52515,95,36,42,72720734,6,B,E1D6HQN1HVL7P1XAC,6,11,59,101213,2367
14,82,40,109,109,40,109,76964872,6,5,1.09008E+15,752.7,21018,2,6,83,11245293,4,S,W7DGEMWGHVAUCANUN,5,52,86,62515,6445
13,62,20,93,93,20,93,64897086,79,8,9.30065E+14,392751.14,21120,47,50,21,33922302,4,B,J0VL56AV7GH3XHOIZ,66,83,32,32817,4382
10,62,42,61,61,42,61,93440471,84,6,6.10093E+14,-4242.49,122316,99,4,42,93865624,0,C,AN59K866YVOAC0QKP,15,59,54,61116,8769
10,21,18,183,183,18,183,42357381,96,7,1.83004E+15,87759.22,71017,9,17,83,40563857,2,B,L328G4IYV69FK27U5,12,2,80,60318,458
15,62,51,540,540,51,540,38041186,58,4,5.40004E+15,110278.95,42315,32,15,42,53883453,5,S,WZXMLBGYV2ARMNY07,16,2,98,10919,2936
12,42,38,105,105,38,105,52186445,19,8,1.05005E+15,286.41,61317,68,56,21,60842392,0,B,ECPIN7KY1KZ6WAULP,71,59,88,110413,6717
17,62,39,71,71,39,71,30400222,79,1,7.1003E+14,-308479.5,52414,62,16,42,30481205,8,B,D7KE5M8OTJ35NEA34,21,72,4,90519,7903
15,62,24,37,37,24,37,56633353,35,5,3.70057E+14,521.74,20119,24,25,62,95668759,4,B,EUKYSYGH3FV6B6KRG,70,65,63,31713,3482
15,21,47,135,135,47,135,76305807,7,7,1.35008E+15,-77192.12,72218,19,39,42,45381064,1,M,973H64IYNS9SO27QC,24,83,65,62222,1023
10,42,48,383,383,48,383,46142446,67,9,3.83005E+15,6998.73,21014,94,4,21,14231684,0,S,WILGB9M2QQMR511PA,81,2,70,72017,3394
13,83,28,31,31,28,31,81101978,2,0,3.10081E+14,268.95,10823,56,38,62,37852330,4,B,7JBN38MZJJE2ARN92,78,95,22,101320,6394
11,21,13,235,235,13,235,23396398,37,6,2.35002E+15,170023.36,100423,50,53,21,65765551,1,B,0Q9UDF7LQWW9LVTE7,86,64,33,22422,9765
18,83,20,143,143,20,143,31968221,69,9,1.43003E+15,-8678.48,90515,59,6,83,58106223,4,B,1GDXTHTE5JX32P1YZ,32,16,26,60813,2671
19,62,8,99,99,8,99,73061002,30,9,9.90073E+14,443.96,103023,41,51,83,76682218,4,B,CHM81DX6BLM160LRW,35,44,88,93014,4835
13,83,20,105,105,20,105,93437733,24,6,1.05009E+15,6054.18,40917,17,41,21,10714918,4,C,W41RSFUBCXS2H3LSV,91,58,76,42313,1504
13,42,53,29,29,53,29,75342369,29,0,2.90075E+14,-45167.1,11013,42,6,62,73969174,8,M,DOF3SUF71XF50CHX7,89,17,49,22020,8708
14,21,20,59,59,20,59,31347427,29,6,5.90031E+14,-25050.82,70620,80,36,42,69840155,9,B,BDW498LT8ONF5BTM3,43,6,11,100914,1780
