RD-TAX-ID,RD-ACCT-NBR
360559773,7000
113320543,7001
150562757,7002
767461360,7003
765717312,7004
547335718,7005
106148873,7006
264264816,7007
930626309,7008
649928433,7009
782217329,7010
179467594,7011
982090155,7012
317774718,7013
774862923,7014
576787881,7015
953156280,7016
939131041,7017
550148757,7018
942828744,7019
763972622,7020
336233131,7021
193770809,7022
140212520,7023
239249288,7024
329224190,7025
673454875,7026
799890211,7027
473289857,7028
251217785,7029
343149031,7030
943020760,7031
927207384,7032
212292260,7033
136047641,7034
364583832,7035
719994898,7036
715754815,7037
167966443,7038
271946152,7039
617621503,7040
569024359,7041
701011150,7042
922772476,7043
658355685,7044
271678450,7045
533635869,7046
469260158,7047
378683849,7048
228423461,7049
858528860,7050
540900169,7051
562530205,7052
986959853,7053
430644383,7054
792914905,7055
187258702,7056
711458365,7057
490363988,7058
707708266,7059
468176831,7060
335461549,7061
923002740,7062
578927042,7063
615620390,7064
252256209,7065
977459110,7066
186420833,7067
327658684,7068
153576967,7069
650551358,7070
857882713,7071
569149952,7072
707366005,7073
179753883,7074
400464580,7075
726703038,7076
725390062,7077
820603840,7078
909788892,7079
630204461,7080
736044015,7081
922818571,7082
176822905,7083
254014698,7084
552256354,7085
582405140,7086
484615221,7087
512976271,7088
708384081,7089
414601157,7090
307325850,7091
505536304,7092
216440320,7093
421706894,7094
928521873,7095
292339608,7096
762613861,7097
951214987,7098
808588736,7099
738615137,7100
642286590,7101
499253475,7102
148071560,7103
387868250,7104
380250188,7105
786674062,7106
353268189,7107
424710624,7108
591139184,7109
541404748,7110
186076244,7111
215552560,7112
398843683,7113
557794169,7114
580941122,7115
595333066,7116
775269163,7117
716555894,7118
670270550,7119
772278916,7120
759997226,7121
734003683,7122
129179637,7123
691585499,7124
547171747,7125
557026359,7126
498530562,7127
446997065,7128
538732071,7129
162867307,7130
101308548,7131
294358976,7132
179825055,7133
350552844,7134
411874748,7135
817651397,7136
273461880,7137
281162245,7138
602801025,7139
497287191,7140
869675576,7141
747169427,7142
696074365,7143
121164310,7144
383014806,7145
391722319,7146
381997472,7147
553601968,7148
849776590,7149
670278492,7150
703898062,7151
825272433,7152
129336372,7153
449243373,7154
563710971,7155
939509024,7156
947435282,7157
708698055,7158
937334660,7159
716409571,7160
552447081,7161
930541614,7162
342820511,7163
704534424,7164
622609752,7165
530445635,7166
822292358,7167
355202237,7168
891221210,7169
188577684,7170
582843785,7171
684823900,7172
329300357,7173
614980067,7174
992264816,7175
631542414,7176
919899997,7177
455798655,7178
358155287,7179
385425286,7180
731801066,7181
119916167,7182
757923311,7183
180622030,7184
628783363,7185
231787188,7186
141160475,7187
368100745,7188
285130303,7189
576777543,7190
247205185,7191
592673187,7192
386473419,7193
429445035,7194
272604039,7195
869311134,7196
100151727,7197
570585724,7198
846439988,7199
588674363,7200
449085834,7201
583211722,7202
962857791,7203
706306358,7204
323613407,7205
397139987,7206
432134537,7207
393070885,7208
617476198,7209
627951176,7210
734043653,7211
123095264,7212
482509598,7213
171344613,7214
520776519,7215
953880972,7216
912166493,7217
275188456,7218
500697484,7219
502225220,7220
223157237,7221
947225263,7222
526315844,7223
634715893,7224
689594781,7225
279943141,7226
891023001,7227
617908596,7228
808154953,7229
658653303,7230
954104702,7231
765024257,7232
462921854,7233
345121908,7234
783813610,7235
779023847,7236
399556814,7237
163708182,7238
571567047,7239
331400937,7240
433178871,7241
168011974,7242
979900283,7243
223733986,7244
482108550,7245
335471123,7246
576828477,7247
168177289,7248
967964066,7249
337334434,7250
648122606,7251
726168238,7252
949313001,7253
927588647,7254
662472505,7255
953745788,7256
639490845,7257
688371769,7258
774343561,7259
209002240,7260
705841062,7261
602061056,7262
687956384,7263
913719475,7264
223442507,7265
431290753,7266
973423105,7267
895418626,7268
788680022,7269
156852527,7270
347231897,7271
285249892,7272
153662407,7273
820557762,7274
244582061,7275
291222997,7276
945115575,7277
674600039,7278
869834866,7279
831980016,7280
271870309,7281
485800682,7282
204675135,7283
827883498,7284
397679160,7285
961296180,7286
358593133,7287
668635378,7288
510818783,7289
642710851,7290
472957909,7291
854505258,7292
346065205,7293
848643363,7294
740453917,7295
307067369,7296
107706038,7297
569664997,7298
908298060,7299
395582713,7300
281963219,7301
101675509,7302
575189976,7303
701526899,7304
961122485,7305
790285997,7306
270897890,7307
162264170,7308
651738329,7309
755985530,7310
639234206,7311
624453199,7312
114148275,7313
524044316,7314
812283553,7315
492951954,7316
202014839,7317
373076272,7318
127165439,7319
396060242,7320
388956201,7321
397641496,7322
680047918,7323
979825854,7324
109652123,7325
895015430,7326
420181266,7327
683985762,7328
194896632,7329
880967556,7330
910137460,7331
810941949,7332
332089471,7333
274279107,7334
651893547,7335
852049106,7336
599764630,7337
139312632,7338
404896211,7339
505189238,7340
418347672,7341
522554820,7342
762252850,7343
263489090,7344
639317725,7345
323259997,7346
382721227,7347
856981144,7348
154437826,7349
942455716,7350
235580480,7351
513305256,7352
169189714,7353
155851482,7354
453901540,7355
913600504,7356
997945133,7357
573983780,7358
585505581,7359
481352063,7360
443691633,7361
845895251,7362
759950869,7363
956196904,7364
145362791,7365
174311248,7366
106908395,7367
303816286,7368
850203325,7369
773612795,7370
268783672,7371
253132773,7372
397551915,7373
187213064,7374
269949347,7375
309595385,7376
990195047,7377
294138199,7378
722573346,7379
142742104,7380
398963488,7381
828332806,7382
192761627,7383
939787033,7384
699274638,7385
251905854,7386
795336902,7387
221575315,7388
732908739,7389
516677117,7390
