CASE-NBR,CASE-NBR-OBLR,MAILG-LVL-CLIENT,MAILG-CDE-CLIENT,NME-FLDS-BORR-CNT,ADRS-FLDS-BORR-CNT,NME-OBLR,NME-ADRS-OBLR-1,NME-ADRS-OBLR-2,NME-OBLR-KEY,NME-ADRS-OBLR-3,NME-ADRS-OBLR-4,ZIP-CDE,RACE-DESC-CDE,SEX-CDE,MRTL-STAT,TAX-EXEMPT-CDE,VET-CDE,DUE-DAY-PYMT,APPLT-TYP-CDE,NET-WORTH-AMT,LN-NBR-LST-ASGD,RCRD-LN-CNT,LN-CNT-EE,LN-CNT-OTC,LN-CNT-INSRD-FO,LN-CNT-DIR-FO,LN-CNT-INSRD-SW,LN-CNT-DIR-SW,LN-CNT-INSRD-RH,LN-CNT-DIR-RH,LN-CNT-INVSTR,LN-CNT-ASSOC,SUSP-CDE-ACCT,DTE-LST-RGSTR-ACCT,RGSTR-TYP-LST-TRNSCTN,SIS-TRF-CDE,EMPL-RELTNSHP-CDE,LRTF-SRVCG-CDE,MAILG-OFC-FSA,MAILG-CDE-FSA,ORGZTN-CDE,DTE-OAC-ESTBD,DTE-OAC-RSLVD,DTE-OAC-MRTM-EFCTV,PREVL-INDCTR,NBR-COMPLNTS
191570007924022,06085,C,19103,3,2,Ricarda Gregory,1225 Avenue B Station,Angla Petersen,DLSXJQ0M69IBTIB6UE27,Biddeford,Nevada,28096,2,7,3,3,3,17,1,982876.59,76,04,1,0,0,0,1,1,1,0,1,2,2,2014-10-15,85,U,Y,8,S,01069,P,2004-12-04,2015-07-25,2016-05-16,1,L
201190002246653,21171,U,21147,3,1,Nguyet Ball,1275 Bayview Park Square,Leon Carpenter,DLP6G98DC2A9X1GURP9F,Everett,Nevada,49278,7,1,2,3,3,17,7,4909665.92,69,04,1,1,1,1,0,1,1,0,1,0,1,2018-05-09,78,B,U,3,C,19033,P,2002-06-22,2014-07-11,2015-01-22,0,Q
010090006143483,06031,C,08119,3,1,Lupe Dillon,1122 Mark Twain Gardens,Wade Wyatt,CWWNBI7FWKH1540M495N,Gretna,Utah,25990,3,8,4,4,2,01,2,1203533.28,21,00,0,1,1,1,1,0,1,0,0,1,1,2017-12-18,24,D,H,7,S,20077,Q,2006-05-26,2014-11-16,2019-07-27,0,E
061030007592470,06073,C,08091,2,2,Aaron Leonard,794 Seminole Viaduct,Mica Love,RUBIGQF2QSHLL2H7O2N1,Peekskill,Colorado,74908,6,6,2,2,3,08,1,4652657.28,81,01,1,0,1,1,1,0,1,0,2,1,0,2018-10-21,27,W,K,6,V,08083,Y,2012-12-06,2014-11-12,2019-08-26,4,S
010050008624654,19057,T,21007,1,1,Aldo Hayes,52 Hillview Ranch,Lyndon Levine,NHFDVQWP6JC30SUNFPVQ,Bloomingdale,Florida,53532,3,3,2,5,1,14,8,1095398.55,56,02,0,0,0,0,1,0,1,1,1,2,0,2017-07-23,72,X,S,3,T,06085,T,2013-08-24,2006-12-11,2016-01-09,0,Z
210000003873742,08067,U,19155,3,3,Weston Becker,139 Riley Trail,Ethan Owen,C848KDNCI1Y7SRNVWT9G,Golden,Delaware,70995,8,3,2,1,4,24,8,590356.42,80,02,1,0,0,1,0,1,1,1,0,1,1,2017-11-05,18,J,S,6,S,08067,K,2005-04-15,2016-03-30,2016-02-05,0,E
190750005212396,04005,D,21015,1,1,Bruce Higgins,183 Fell Access Road,Seema Maxwell,LEHM7IYTLHC4IL8M0XOM,Gillette,Michigan,65749,1,5,3,1,1,06,4,2464518.38,73,03,1,0,1,1,0,0,0,1,1,1,1,2012-11-17,63,Z,Z,7,D,21167,A,2000-01-19,2016-02-03,2018-10-27,0,K
211270005640066,05035,C,01063,2,2,Elizbeth Edwards,172 Albion Trail,Herb Cook,L2HQDZH2IGGT4LEOCYW0,Gurnee,North Carolina,65813,4,8,1,4,4,28,8,2218858.98,77,02,0,1,1,1,0,1,1,2,1,2,1,2013-08-02,65,U,F,2,U,05025,Q,2008-06-05,2014-01-31,2015-06-11,4,R
191650006317405,21115,V,08067,3,3,Yasmine Jimenez,219 Vicksburg Rapids,Grayce Mccray,W81XP6AOWHC6SWCVX6B0,Farmers Branch,Rhode Island,87367,7,3,1,5,1,17,3,2028103.29,64,04,1,0,0,1,0,0,1,0,1,2,1,2015-01-04,26,Z,M,4,U,21193,I,2010-03-24,2016-12-21,2017-06-24,4,M
040110003366050,21131,D,01003,3,1,Malika Mcintyre,943 Waithman Circle,Kevin Padilla,TQOEGZQY0FDW12IFDI1P,Grand Forks,West Virginia,52926,7,7,3,4,1,26,3,244843.93,18,05,0,0,0,1,0,0,0,2,2,0,2,2019-09-11,50,L,H,6,S,20165,U,2009-08-21,2014-05-18,2019-05-10,4,R
210710006772827,19095,T,01047,3,2,Rafael Perry,727 Nautilus Gardens,Kieth Tucker,D014EC8REK196BPBNR3K,Battle Ground,Utah,94267,5,4,4,1,1,10,4,140596.02,58,03,1,1,0,1,1,0,1,2,2,2,0,2013-01-23,37,Y,O,5,C,20091,W,2013-08-20,2013-01-29,2016-06-20,0,H
210050007099666,20185,U,19171,1,2,Troy Bryan,48 Attridge Mews,Hunter Clayton,LX4TI0L15RSICO0BW94C,Longview,Kansas,57639,6,4,2,1,2,14,2,1814791.05,40,05,0,0,1,0,1,1,1,1,2,1,0,2019-05-01,71,M,Y,7,V,06101,H,2011-09-10,2016-07-31,2019-08-24,4,F
010930003055822,08000,D,19173,1,1,Joel Kerr,728 Longview Highway,Michal Wiley,QHFXAJNOVSIIY8MA9VUA,Chester,Idaho,37234,1,3,1,5,3,04,8,3727863.59,17,01,0,1,1,1,0,1,1,0,2,2,2,2015-11-23,66,Z,C,7,S,06011,M,2013-12-27,2010-02-27,2019-12-18,4,G
