name,email,phone,address,city,country,birth_date,gender,ssn,loan_number,loan_amount,interest_rate,loan_effective_date,registered_at
Myung Hurst,plain1854@yandex.com,+14703265413,249 Delta Turnpike,Benicia,Namibia,1962-10-19,Male,ssn,176584,1818645.4021649442,7.38,2010-12-12,2010-07-04T20:25:39.664126
Roderick Lancaster,friend1908@outlook.com,+15309663836,338 Kaplan Run,Gaithersburg,South Korea,1996-09-29,Male,ssn,607639,1820192.325147063,9.75,2012-06-22,2014-06-22T22:58:50.579071
Mark Sharpe,ddr1982@yahoo.com,+19084716079,635 Crisp Court,Coconut Creek,Afghanistan,1994-06-12,Other,ssn,791450,4143803.8123124572,4.14,2011-06-14,2019-09-23T23:03:12.521099
Melvin Mcconnell,frequent2029@duck.com,+18478038638,1372 Henry Adams Rapids,McKeesport,South Sudan,1978-03-21,Other,ssn,256418,3506166.079358159,2.97,2018-11-01,2020-11-30T05:31:26.529029
Sam Leon,info1994@yahoo.com,+12288015077,423 Navy Mall,Florence,Guadeloupe,1997-04-22,Female,ssn,803059,3420309.1698578442,14.73,2018-02-23,2019-07-16T08:20:48.369274
Roberto Barron,occasional1846@yandex.com,+18306257926,897 Delano Crescent,Mattoon,Morocco,1989-08-11,Other,ssn,925372,3691183.642156878,11.76,2012-09-07,2019-08-10T00:07:31.037244
Aron Bright,lexus2083@example.org,+13208756373,163 Pennsylvania Grove,Gurnee,Macau SAR China,1998-08-04,Other,ssn,454571,1894430.3845315499,14.94,2014-02-23,2011-08-27T12:01:15.774479
Luba Vasquez,clips1836@outlook.com,+13608255927,854 Mauldin Station,Mattoon,Malta,1982-08-01,Female,ssn,852433,3584739.2921024687,12.81,2019-02-24,2018-06-01T16:38:41.787050
Darby Jenkins,anatomy2094@live.com,+16829370720,76 Chicago Turnpike,North Charleston,Cuba,1975-08-16,Female,ssn,939821,771624.5497861927,5.31,2012-06-18,2020-11-10T12:30:51.923271
Edgardo Clements,default2096@protonmail.com,+12625071420,1291 Winn Turnpike,Bartlesville,Belarus,1978-02-28,Female,ssn,686254,3322812.012883475,12.76,2011-12-06,2013-02-26T14:09:06.834144
